"split1","split2","split3","split4","split5","split6","split7","split8","split9","split10","comp","set","lambda1"
0.796954178622324,0.801390949941438,0.797369867117137,0.79730107049629,0.799935302730594,0.799933543304297,0.800043359771852,0.795527074398338,0.798214790383639,0.800211846484587,3,"train",0.001
0.794583816297617,0.792929356255399,0.792629402816023,0.792426007747377,0.794258563481634,0.798157622073334,0.793299357511362,0.790696740231935,0.792554596575524,0.793742587653589,4,"train",0.001
0.792613539779142,0.789362113424395,0.789153096474019,0.787931459408568,0.791210711935736,0.793023060162936,0.790440206379146,0.787303415979077,0.790152336174622,0.790064700672576,5,"train",0.001
0.788153724722083,0.786415794968167,0.787911346422649,0.787563107475659,0.788893984635487,0.788266564812526,0.785906213992738,0.782580763716373,0.784050031266486,0.786383871945016,6,"train",0.001
0.158297758317112,0.260186615866007,0.21961551202542,0.277536789968748,-0.0195929283403187,0.163947727880915,-0.0448280724003211,-0.00618250336529422,0.0341644934706733,-0.0894506223645612,1,"test",0.001
-0.0163426246606631,-0.0227939956463075,0.0637755989750133,-0.080102227335291,0.0107568192251768,0.026586731969205,0.237245559609079,0.0847028483024275,0.0749709597240143,-0.0358459019844644,2,"test",0.001
0.38507668174688,0.0654574211772729,0.17268318402714,0.189604533597319,0.147761555301399,0.212156791080335,0.108157200888339,0.254185334975338,0.226006482422881,0.0822489421566983,3,"test",0.001
-0.000443459626771008,0.126408230866105,0.204348792061424,-0.0896026142592188,-0.041011437151591,-0.118982441680684,0.0637089446162217,0.206620563806683,0.051654797760898,-0.0267899223975968,4,"test",0.001
-0.197206086416617,0.191401132282122,0.00823314992070796,0.0815076458078058,-0.146555838279493,-0.20105673733837,0.110282959917631,0.0502707778875153,-0.171385797020931,-0.0417592930590166,5,"test",0.001
-0.151393103695553,-0.0229641058288622,-0.108035318772807,-0.0816660329436399,-0.244818061032652,-0.059899741476121,0.264025881191017,0.278803578364036,0.20652281086558,0.0029287066439231,6,"test",0.001
0.405977510113641,0.402873695678808,0.400480793577731,0.40268558776009,0.407834166504917,0.407893023341304,0.409044412750067,0.405036010408819,0.405081527940861,0.410462839869457,1,"train",0.01
0.397564640377351,0.401454097385403,0.398788466222491,0.396225957283181,0.401018583816498,0.401448719433746,0.398402198611079,0.396757422737463,0.397868883639371,0.400518864182287,2,"train",0.01
0.394431978853337,0.396391938936847,0.393970597241079,0.394208645441431,0.394405245431361,0.3952535618504,0.394592020337492,0.391547156720793,0.393101644840067,0.395446809319217,3,"train",0.01
