"PCA_comp","RCCA1","RCCA2","RCCA3","RCCA4","RCCA5","RCCA6","RCCA7","RCCA8","RCCA9","RCCA10","RCCA11","RCCA12","RCCA13","RCCA14","RCCA15","RCCA16","RCCA17"
"PC18",-0.00097435177220557,-0.00199390115786846,0.00530177335898268,-0.00395536486345622,0.00076241391277667,-0.0025448827284963,0.00122030093614078,-0.00959654844961952,-0.00623221932394967,0.00142592654645069,-0.000611793310239952,-0.00315355938854425,0.00657964468117037,0.00285452494650914,0.00286208863032439,-0.00402404143175938,0.00731405278535004
"PC19",0.000146231416994539,0.00730893897966211,-0.00025017675146414,0.00394306252496704,0.0102517667511622,-0.00526195570740849,-0.00515562955077542,0.00699697532521359,0.00627298888817533,0.000699746712759609,-0.00407804297300829,-0.00540946354528813,0.00363172344294561,0.00238863475686048,-0.0037654185915959,0.000770519829186417,-0.000954564468154889
"PC20",-0.00692742843702682,-0.00376076225717764,0.00196153061812155,0.00396587430130265,6.55504268165516e-05,0.00323207912277156,-0.000297376861503763,-0.00342942498787889,-0.0105612665131881,0.00534557739206076,0.0010475192857374,-0.00338427475879886,-0.00417024780221854,-0.00484078740426032,0.000154209485760948,0.00354881966887835,0.00199341107731999
"PC21",-0.000394637426507015,0.00358678403248208,-0.00734346485817093,-0.00782798334455063,0.00616002173693621,-0.000733962189014823,-0.00240246326944924,-0.00414256852492567,0.000703418660847696,-0.00170586980427098,0.00130590893623377,0.00482376807689436,-0.00612722459810097,-0.00409394123349419,0.00110075843509432,-0.00357784340111592,0.000639050909795734
"PC22",0.000426522342691479,-0.00427033161712354,-0.00781525719495969,0.00442197078910195,-2.42004899755336e-05,-0.00367197803224087,-0.00259178650354996,-0.00331895661228427,0.00155995444416075,-0.00202661745651905,0.00139221565350755,0.00345087891419268,0.0058385083477353,0.00231427046545513,0.00342167002847964,0.00246747073663962,-0.00155666393008423
"PC23",0.00856430985854091,0.00108952158083989,0.0106120669754187,-0.00561994038010884,0.00770707839473573,0.0053128160525841,-0.00473500127392724,-0.00414505842858352,0.00567418635160105,-0.00208261761643586,0.000928536599720947,0.00525912745130966,-0.000693510388365537,0.00886764956723986,0.00146292460872563,-0.000225176960149005,0.00340550149862958
"PC24",0.00127497965330951,-0.00490846717132872,-0.000504961225685413,-0.00372863553146922,0.00153726388098973,0.00599005753064149,0.00387883155408168,-0.00627279351811103,-0.00650050796114594,-0.00165428246161714,-0.00603586795719858,0.000218729099466377,-0.000628808031800183,-0.00413233642673658,-0.00163618482789456,-9.64000584667337e-05,0.00179474303583698
"PC25",0.00251701744327103,-0.0109249398766638,-0.00252198677395575,0.00600249261646597,0.00203470685238285,0.00377347431130124,0.00165221059302985,0.00257042135864747,0.00496369064553146,0.00310473373831133,0.00426720174320993,0.000836600400730006,-3.75348794233905e-05,0.000666010036281934,0.0014918966881492,0.00110378601359547,0.000653718068616005
"PC26",-0.00220144566493857,-0.000479789145514162,-0.00191269719461013,0.0075249027060192,0.0010550933450177,0.00328438600430543,0.0086813197393753,-0.00557401196220449,0.00438058855713547,-4.6419989503121e-05,0.00185906957584782,0.00304690265113808,0.00112844161588246,0.00664860873889372,0.00266739004088122,-0.00553668247679357,-0.00882896021576672
"PC27",0.00535215168973432,0.00183104282022638,0.000263271714263973,0.00247731891105718,-0.00837054414830629,-0.00150451941669583,0.000857693633959555,-0.00295311790871478,-0.00265363639721965,-0.00280744890060116,0.00563154047639449,0.00252613337107975,-0.00586516428682026,0.00342902576198933,-0.00145073603108297,0.000448298398076657,0.00303547531809909
"PC28",0.000771044614382797,-0.00549967075396223,-0.00976306372094572,0.00907868226241619,-0.00284584536450523,-0.00246609354955248,-0.00410820801335385,-0.00215482085922447,-0.00530608655559567,0.00536803495739515,-0.00565560214555526,0.00732536628415755,-0.00171492314940469,-4.36514480453819e-05,-0.0071088742014034,0.00424461659261195,-1.88351112932125e-05
"PC29",-0.000216747030881405,0.00543696264355206,-0.00155391324882402,0.000759446870211401,0.00488764619267903,-0.00356565541463815,0.00582919705394472,0.00515594807936536,-0.00721758872713353,-0.0102850863196876,-0.00864651003477184,-0.00383222879895658,0.00614513988986649,0.00836761573138947,-0.0037565795382542,0.00336066541885496,0.00304796829782554
"PC30",0.00372445501825049,0.00930142832419271,0.00579699011128113,0.00262906354462413,-0.00295111215986048,0.00606672157969849,0.00137308472905078,-0.00259393495261368,0.00454952082439971,-0.00469448270886849,-0.00104371823601381,0.00272076379182596,0.00568107236299486,7.94278644555036e-05,-0.00396828631221958,0.0044009091691827,0.00507551115125848
"PC31",0.00194168939101043,0.000432809885659868,-0.000668525276457605,0.00139662061273347,-0.00180221762355006,0.00334781693217151,0.00236409233045443,-0.00407489112431032,0.00222954334679957,-0.00145738410861049,0.000811147922034829,0.00061405700061632,0.00671776160635746,0.00301343023841675,-0.00138607605541042,0.000620223702300416,0.00237562329683043
"PC32",-0.00069240703154621,-0.00129969016965147,0.000324062041958674,-0.00418023087374281,-0.00291349875991978,-0.00458618733089437,0.00715997546834443,-0.00457086422187622,-0.00239099261207437,-0.00424298199184254,-0.00658510816594055,-0.00156065381496783,0.00199530381979201,0.00134880505608883,0.000189495291126663,-0.00283224194055225,-0.00636710394839725
