"split1","split2","split3","split4","split5","split6","split7","split8","split9","split10","comp","set","lambda1"
0.131574248293949,0.130478554865162,0.129958647664396,0.13019418951843,0.131244655351779,0.132026039866918,0.130387396000732,0.128827327222077,0.130839170338594,0.130711792146356,5,"train",0.1
0.129685872620963,0.128721761047599,0.129653776278314,0.128899107068601,0.129973835178964,0.129519706544961,0.128525533789299,0.127532590055745,0.127932330627055,0.128796514525821,6,"train",0.1
0.179377248412661,-0.0657606452064063,0.172409138356999,0.223330832527911,-0.174459904881686,0.0720933491237146,-0.0674946144863843,-0.0225971426696055,0.178096246072475,0.112021918412732,1,"test",0.1
0.12845699537912,0.169003655673454,0.159030290932348,-0.038154097908774,0.0524064779025785,0.139254341331808,0.248516106274277,0.06883585195421,-0.0293857515878733,-0.0314404003294232,2,"test",0.1
0.126932432771028,0.13794260639092,-0.0949099265370315,0.33669670120377,0.204069360115491,0.233839127082019,0.298818506629996,0.287875309855265,0.19411911396893,0.0290405123577158,3,"test",0.1
0.0073064875849613,0.146462828597851,0.233799452406032,-0.0924719240641889,-0.103541602497004,-0.137000806082312,0.148712390024707,0.130940604610993,0.0762327828873414,-0.00800561526103304,4,"test",0.1
-0.22094204094799,0.0259258899907115,0.114067763367036,-0.0311450184133277,-0.170611209600586,-0.124482983701204,0.129661501043662,0.11984091432596,-0.202199261537038,-0.0774776483037484,5,"test",0.1
-0.199983941829933,0.00692957317142652,-0.243084184240181,-0.110118267685734,-0.278856499943228,-0.0182333339612074,0.179934740696172,0.1469529097665,0.166057895824617,-0.0131283461801472,6,"test",0.1
0.0443499472382847,0.044875274895044,0.0441202234604081,0.0441418466817077,0.0454075312865608,0.0447521284578929,0.0450276988834852,0.0446520748538453,0.0442471590477197,0.0446947551784819,1,"train",1
0.0438226034812503,0.0437954031054668,0.0435976140232721,0.0434185984306334,0.0438321074156927,0.0440536388622286,0.0434973900287185,0.04359477626059,0.0438046974118157,0.0440323346299102,2,"train",1
0.0431625726919257,0.0433945281448248,0.0433335146608873,0.0429518174898979,0.0431618911858532,0.0432918298706348,0.0432014569097589,0.0427842079238693,0.0430512050224219,0.0433129643515694,3,"train",1
0.0424126109814449,0.0420561973359531,0.0420094934197131,0.0420114116331234,0.0423779306437798,0.0428999109204337,0.0420939314470895,0.0419253450504507,0.0420681187480356,0.0422120228417863,4,"train",1
0.0419629369777823,0.0416125238765594,0.0414408234934035,0.0415262988648813,0.0418571356861981,0.0421155058010735,0.0415782960147793,0.0410668553902227,0.0417290075660424,0.0416848847169194,5,"train",1
0.0413563724663033,0.0410370688726134,0.0413415393303163,0.0410917681692517,0.0414474759415586,0.0413024300679849,0.0409703104951667,0.0406590019697587,0.0407800651991122,0.0410630741693079,6,"train",1
0.190156362506146,-0.0716387238803003,0.177191898237425,0.21574009379875,-0.172720986217803,0.0703095667046523,-0.0661636024126157,-0.0161999173661976,0.183333928346924,0.112132974284067,1,"test",1
0.121027101602685,0.173618735073184,0.156050019586561,-0.02830053127303,0.051665922470098,0.138239613559463,0.255549729746453,0.0680581357560364,-0.0357818245723798,-0.0315614320393187,2,"test",1
0.118342586187368,0.133452399947359,-0.103470421858437,0.340924530131232,0.203876684155595,0.233491525348738,0.295568329093554,0.282902736929683,0.184634372396569,0.0292514563837432,3,"test",1
0.00121087121691782,0.147100608006249,0.235374807758647,-0.0926366662010711,-0.106067661531725,-0.135474880114078,0.150489609996726,0.1285603998279,0.0740609147604201,-0.00712630665287848,4,"test",1
-0.217562147289615,0.0183823615624002,0.108955723215698,-0.037634989076856,-0.171343482180464,-0.124363299291004,0.129232867065977,0.12065311645459,-0.2025064921596,-0.0795752412315841,5,"test",1
