"PCA_comp","RCCA1","RCCA2","RCCA3","RCCA4","RCCA5","RCCA6","RCCA7","RCCA8","RCCA9","RCCA10","RCCA11","RCCA12","RCCA13","RCCA14","RCCA15","RCCA16","RCCA17"
"PC23",0.0011130066846318,-0.000281440659147901,-0.00158913124290023,-0.00136059008593978,0.000972942111234751,-0.00143535930269502,-0.00015285906890417,-5.39320123506457e-05,-0.00145579727288875,-0.00232642603443637,0.00309570043296247,0.00213656510463183,-0.00253991553576557,-0.00174019995799195,-0.00257707182434398,-0.00270812191672453,0.00107448896618185
"PC24",-0.00346486193118446,0.00269312798966092,0.00293794230098222,-0.00150081792227526,-0.00130708272497751,0.00141341197223001,0.000956180274307064,-0.00104811276464046,-0.00131571036762758,0.00130068194407143,-0.00205411224806896,0.00122968183920394,-0.00179767040883803,0.00188147987879905,0.000257513696956996,-8.13317443863335e-05,0.000444688827112045
"PC25",0.00143439689664437,-0.000828363896282983,0.00304796017965932,-0.00231699894618189,-0.000124493432097831,-0.00109646503717438,2.68569433005984e-05,-0.00236801189812587,0.000210417644382538,-0.00275242039735915,-0.00204227094729033,0.001233678753826,0.0019571538836472,0.000186445774305769,-0.00150640124093025,0.00377198419976775,-0.000751086677149755
"PC26",-0.00234692431722219,-0.000273486032130952,-0.00177307323008008,-0.002757482875407,0.00105488162542089,-0.00267766286881601,-0.00166351256174614,0.00148020497476216,0.001696759774378,0.000336559974915779,-8.45365164163235e-05,0.0023390475944033,-0.000878815476492768,0.00177415989904659,-0.000864221210685857,-0.00272910583462431,-0.000594866629464911
"PC27",0.000962077465579884,0.000300324380016756,-0.000852522587304146,-0.00277338041293892,-0.000323563114674248,0.00310913588488795,-0.00194700907047774,-0.00139690992642291,0.000540378725723766,0.00157683662002138,0.00256471215091532,-0.00157094997149328,0.00289250940115084,-0.00149497646024071,2.14044921444836e-05,-0.000612348693587435,-0.000476962037140827
"PC28",0.00107507058960986,-0.00173522991910194,0.00045216401613131,-0.00104434644381778,0.00238930590595283,-0.00183461982563946,-0.00133592128820142,-0.000245439464781213,-0.00131379914237211,-0.000687413292738685,0.000526038789169075,-0.00173005973596548,-0.00281407834643323,0.00121230391788565,-0.00166595492961164,-0.00209143060010728,-0.00230684806676196
"PC29",-0.00246684701802024,0.000423208471311891,0.0010865101707883,-0.00147010012606678,0.00315208214435023,0.00386354817363647,0.00162355905664915,-0.00370735586182905,0.000520626143505816,0.000296834668212791,-4.64239583814066e-05,-0.000877737146166107,-0.00112369903128237,0.000750409679676587,0.00356541972295374,0.00227308706763646,0.0011220497921845
"PC30",-0.000648512025098068,-0.00339948586077112,-0.000699567621041766,0.00181981118194321,0.00184674702006566,-0.00217405255491711,0.00137565896740227,-0.00288045011852421,0.00171526627281373,-0.000603765238605785,-0.00459669949789562,-0.00221184845260249,0.00195841867113266,0.00135889421104603,0.00139899252024094,-0.00253159997749008,0.00321567817703681
"PC31",0.000777415120910791,0.00057639182611893,-0.000750826605642665,0.00016858111600844,-0.00269353163949959,-0.00272415721686267,0.000679722203221386,-0.00035340485340624,-0.00121368402450694,0.00288624674536199,0.00061264537661534,0.00186977319340002,-0.00349483067230027,-0.000779455824972913,-0.00152349228782068,0.000174885098080131,-0.00077200789011575
"PC32",-0.000742017965402401,-0.0014252342366697,-0.00285297931662407,0.00225612476312332,0.000292359492694277,0.000522888658944785,-0.00153677139857309,-0.00133760255374401,-0.00357864335274469,0.00201273855900551,-0.000826272314541202,-0.00439245319775589,-0.000895498055753894,0.00120161894659231,0.000623957842631836,-0.00350835989906424,-0.00142549069148381
"PC33",-0.00178579525294567,0.00138206762316529,-0.0052305070677465,0.00119926358834109,0.0020049755207961,-0.000747402458152252,0.00421727032691081,0.000201293487191911,0.00155121201852162,0.000723307673310632,-0.00110517118531241,-0.00142463719305068,-0.00370735096170984,0.000182685894689652,0.00108493245425685,0.00210406738175172,0.000392069300690362
"PC34",-0.000724486381792894,-0.00121992377681799,0.000999754967284122,0.00223412224216866,-0.00233708300267496,0.000381447888301217,-0.00310360935865719,0.00123405672342384,0.00197968388296063,0.00011929423981046,-0.000607369534947226,-0.000134056037492029,-0.00129702605049321,0.000420510905752764,0.00210409230394962,0.00206064505650136,-0.00135534211167963
"PC35",0.000221069201836872,0.00271937960032635,-0.00144587119065489,0.000935553232083054,0.000691847742445834,-0.000767137034418536,-0.00165174195416291,0.000520094339221666,0.00129924592683711,0.00374573344042597,0.000345069054745926,0.00191782176871066,0.000125795144954153,-0.00045832551262643,0.00104909113794231,0.0020013351099485,-0.000895177642087472
"PC36",0.000123603557509653,-0.00166573833360651,0.00126934619141007,-0.000915486239459025,-0.000819732746459039,-0.000943345561537911,0.000352186101257496,-0.00162487329177801,0.000369856851277168,0.000350388263869402,-3.66945527405343e-05,0.00449566985700014,-0.00169141438700293,-0.00286829218092091,-0.00283174050482846,0.001163276933508,-0.00196507778126727
"PC37",0.00261148582441612,-0.000240621651451904,-0.000729203872968413,0.00191380807409481,-0.000211720727528535,0.000860639932596537,0.00173902652139685,0.002480278459877,0.000478728481421321,-0.00108952994012799,-0.0019868132030281,0.000957898165013672,0.000426387505310491,0.000540522336926919,-0.00115639236507492,-0.000720336359616122,0.000876428505334519
"PC38",0.000375840174872005,0.00117607959052182,8.12510101303659e-05,0.000365267968525653,-0.000320632588193416,-0.00125395572101408,-0.00274554930463018,0.00212080888819633,-0.00368302837196074,-3.31279778482292e-07,-0.000146000749689667,-0.000717693711801909,8.94735735269498e-05,0.00240334636841826,-0.000110399120554807,0.000561288933408985,0.000925091529683229
"PC39",-0.00176191401638047,0.000441407294955717,0.000322233486671749,-0.00163135862377501,0.00202402605811508,0.00286526100537442,0.00098989205130007,9.51035824722674e-05,0.000357616425513079,-0.00353843317204503,-0.0037037996477975,-0.000938524506407968,-0.00114940732596042,0.000610688129062555,-0.000407576034972128,-0.000389973465602399,-0.00186879810662579
