"Subject","AngAffect_Unadj","AngHostil_Unadj","AngAggr_Unadj","FearAffect_Unadj","FearSomat_Unadj","Sadness_Unadj"
"115825",45,51.4,53.7,46,50.9,51.2
"116524",76.8,58.8,69.3,54.4,61.4,54.1
"117122",47.5,47.7,56.8,35.9,40.1,42.3
"117324",28.6,36.6,43.4,52.9,57.5,34.2
"117930",43.8,50.7,52.2,41.5,49.8,38.5
"118023",48.1,44.9,49.8,46.7,46.3,39
"118124",28.6,48.8,43.4,43.3,40.1,34.2
"118225",39.7,49.8,52.2,43.3,40.1,34.2
"118730",54.3,54.8,65.8,51.2,56.5,46.1
"118932",45.1,57.3,68.2,51.9,58.8,46.1
"120111",31.6,48.9,43.4,41.8,44.8,43.3
"120212",51.8,49.1,43.4,59.8,57.5,48.2
"120717",47.5,46,55.8,53.7,59.6,51.2
"121416",40.6,36.6,69.4,49.3,44.8,45.8
"121618",56.9,56.9,59.1,57.6,60.1,51.7
"121921",55.1,53.7,49.8,51.9,61.1,42.6
"122317",50.9,53.5,55.8,51.4,50.5,45
"122822",50.3,53,43.4,54.4,44.8,53.3
"123117",47.8,54.4,54.3,46.9,63.2,45.7
"123420",45.6,52.4,53.7,70.6,79.4,63.6
"123521",61.1,43.4,43.4,65.7,54.4,52.5
"123723",51.6,56.9,43.4,52.9,46.3,51.7
"123925",39.7,54.5,43.4,49.9,46.4,44.8
"124220",44.5,40.8,52.2,43.9,55.3,44.7
"124624",44.2,40.8,59.1,32.9,51.7,39.6
"124826",47.5,36.6,49.8,51.2,44.8,55
"125525",53.1,46.8,43.4,46.3,51.3,45.9
"126325",28.6,45,43.4,36.5,56.9,34.2
"126628",47.8,45.5,43.4,48.8,60.1,42.4
"127226",53.4,63,65.7,53.7,53.6,46.1
"127630",50.6,49.6,55.8,58.3,50.5,45.6
"127731",42.3,36.6,43.4,42.9,40.1,44.2
"127832",42.4,36.6,43.4,46.3,40.1,44.9
"127933",59,36.6,58.2,54.4,51,48.2
"128127",50.8,51.5,43.4,46.7,52.9,46.1
"128632",38.7,48,43.4,42.7,40.1,34.2
"128935",45.6,51.5,43.4,49.3,54.7,45.6
"129028",46.8,47.2,62.4,42.5,58.5,41.8
"129129",59,59.6,43.4,59.8,64.6,53.3
"129331",50.3,47.1,55,53.6,54.4,49.9
"130013",47.5,53.5,62,50.7,44.8,38.5
"130114",36.6,36.6,43.4,46,53.4,34.2
"130316",51.4,58.1,52.2,53.3,46.5,43.6
"130417",44.8,53.8,43.4,51.2,52.2,48.1
"130619",48.4,50.5,43.4,55.5,61.5,48.2
"130821",45.9,46.4,53.1,50.4,40.1,51
"130922",48.6,48.9,43.4,53.7,55.9,48.2
"131217",49.8,48,43.4,55.8,44.8,49.9
"131419",42.7,43.6,43.4,52.9,54.8,45.6
"131722",62.7,60.1,56.8,71.4,73.1,62.4
"131924",28.6,41.4,52.2,43.6,60.5,42.3
"132017",44.6,59.2,63.6,37.2,40.1,51.2
"133019",43,36.6,43.4,43.1,44.8,45.8
"133625",42.8,53.6,61,49,57.4,44.8
"133827",42.6,36.6,52.4,45.9,40.1,43
"133928",44.8,51.5,58,44.3,46.4,49.9
"134324",43,36.6,76.2,46,61.7,41
"134425",37.2,42.3,43.4,39.4,44.8,34.2
"135225",56.9,50.6,52.5,58,56.9,49.4
"135528",44.2,45,43.4,54.9,40.1,46.1
"135730",44.9,56.7,63.4,58,61,49.8
"135932",47.5,57.4,43.4,49,49.8,46.1
"136227",51,49.3,51.2,53.7,56.7,48.2
"136732",37.4,40.5,49.8,32.9,60.1,34.2
"136833",45.6,36.6,43.4,49,55.9,41.2
"137027",37,47.1,43.4,32.9,40.1,34.2
"137128",46.8,36.6,43.4,44.3,44.8,46.1
"137229",41.5,59.6,43.4,47.2,46.4,48.2
"137633",46.5,40.5,43.4,49,58.2,42.5
"137936",28.6,46.8,64,32.9,40.1,34.2
"138231",52,51.1,43.4,51.4,60.3,44.7
"138534",36.2,41.4,43.4,32.9,40.1,34.2
"139839",50.1,48,58.4,49.6,54.7,50.9
"140824",51.8,47.8,78.7,60.3,69.5,49.9
"140925",67.6,62.9,61.6,70.8,60.1,64
"141119",48.8,52.2,63.5,53.1,47,34.2
"141422",46,59,58.5,46.2,44.8,43.8
"142828",54.6,42.4,56.9,46,56.5,45.8
"143325",44.3,67,55.7,56,54.4,49.4
"144428",60.7,57.6,62.5,56,51.7,69.5
"144731",51,50.1,43.4,55.7,62.1,44.8
"144832",47.5,43.3,43.4,46.7,48.9,43
"145834",46,36.6,62.1,60.7,40.1,48.1
"146331",28.6,59.1,69.6,32.9,40.1,34.2
"146432",48.5,36.6,43.4,32.9,40.1,34.2
"146937",48.7,48.9,50.8,43.7,66.8,46.1
"147636",60.7,47.1,43.4,53.7,51.8,48.2
"148032",37.4,36.6,43.4,46,46.5,39.6
"148133",55,63.6,51.2,55.8,59.4,55
"148335",55.8,51.1,55.8,52.9,59.7,43.3
"148941",49,49,49.8,52.1,56.7,38.9
"149236",49.9,54.3,43.4,57.7,55.9,54.3
"149337",45.6,48,49.8,44,40.1,48.1
"149539",48.1,55,43.4,55.8,62.4,43.5
"149741",37.2,47.1,43.4,41.1,44.8,38.9
"149842",44.2,55.5,49.8,50.8,46.4,49.4
"150726",49.8,51.5,43.4,53.7,59.6,54.3
"151223",61.1,62.6,43.4,64.9,62.8,55
"151324",49.8,67.8,69.6,56,62.8,45
"151425",49.5,64.4,43.4,49,51.8,46.1
"151526",67.2,73.6,53.7,71.3,67,69.5
"151627",40.2,51.2,52.2,39.4,40.1,34.2
"151829",50.3,51.3,43.4,55.1,59.9,51
"152225",48.4,36.6,52.2,46,56.9,43
"152831",57.1,61.8,43.4,59.8,45.3,62.2
"153025",47.9,58.4,66.2,51.2,63.8,44.2
"153429",54.4,36.6,61,65.6,55.4,56.6
"153631",57,56.9,43.4,66.9,58.5,60.5
"153833",54.8,51.4,62.8,49.3,40.1,48.1
"154229",40.4,64.6,56.6,63.3,51.8,48.5
"154330",48.4,51.9,58.4,49,50.5,38.9
"154431",28.6,36.6,43.4,32.9,45.3,34.2
"154532",51.8,48.9,69.6,54.4,60.1,42.4
"154734",35.4,36.6,43.4,46.9,50.4,39
"154835",45,58,59.9,51.2,50.2,48.2
"154936",70,68.2,64.2,68.5,50.3,58.8
"155938",36.9,36.6,43.4,50.6,52.9,44.7
"156233",44.2,44.8,70.6,40.1,54.3,43.8
"156334",48.7,40.5,43.4,47.2,50.5,45.6
"156637",63.8,60.4,51.2,59.7,46.5,56.3
"157336",49,36.6,49.8,51.2,55.9,48.1
"157437",46,56.6,52.2,42.9,59,42.8
"157942",50.9,53.8,43.4,54.9,57.4,57.6
"158035",54.9,40.9,43.4,48.6,40.1,53.4
"158136",54.7,58.2,62.5,63.3,50.2,62.2
"158338",51.8,57,60.6,54.1,55.9,46.1
"158540",48.6,55.9,51.8,40,44.8,34.2
"159138",37.8,36.6,43.4,42.7,44.8,34.2
"159239",28.6,54,43.4,32.9,40.1,34.2
"159340",36.5,36.6,55.8,37.6,40.1,34.2
"159441",56.1,40.5,52.5,61.6,73.5,50.8
"160123",51.2,40.9,43.4,50.6,54.8,48.2
"160729",53.8,51.5,53.1,60.5,75.8,45.7
"161327",56.9,61,71.9,52.2,40.1,51.7
"161731",44.6,53,52.2,51.2,57.5,34.2
"162026",34.6,50.3,43.4,32.9,40.1,34.2
"162228",31.6,36.6,43.4,37.9,40.1,34.2
"162329",31.6,42.8,43.4,39.6,40.1,34.2
"162935",54,48,43.4,51.2,44.8,55
"163129",48.4,43.6,43.4,59.8,50.5,51
"163331",48.4,48.4,61.8,32.9,48.9,45.9
"163836",51.3,58.4,65.5,51.2,52.3,46.1
"164030",45.9,36.6,43.4,42.6,40.1,38.5
"164131",52.4,60.7,55.8,45.7,53.5,49.4
"164636",44.4,42.8,53.2,43.8,55.2,48.1
"164939",51.1,62.3,43.4,60.7,40.1,76.5
"165032",60.2,54.7,59.2,51.2,53.7,46.1
"165638",37.8,47.6,43.4,41.4,49.8,34.2
"165840",52,54.4,63.9,52.1,56.3,48.7
"166640",49,59.5,68.8,45.7,54.2,45.7
"167036",47.5,42.8,43.4,49.6,40.1,41.5
"167743",50,52.7,52.2,51.2,53,48.1
"168240",62.2,58.5,81.4,52.2,58.2,62
"168341",49.6,42.8,43.4,39.9,44.8,34.2
"169040",49.1,57.2,68.2,54.4,65.1,51.2
"169343",48.8,45.8,43.4,54.4,66.4,57.5
"169444",58.8,43.3,55,66.9,57.8,47.6
"171330",46.1,52.2,43.4,50.6,51.4,47.6
"171532",59,59.6,69.8,65.7,53.9,58.8
"171633",49,71,43.4,41.5,51.7,64.2
"172029",49.8,62.9,59.1,58.3,61.9,49.9
"172130",54.1,46.7,43.4,54.4,49.8,47.6
"172332",28.6,49,43.4,46,40.1,46.1
"172534",42.2,57.7,43.4,32.9,40.1,34.2
"172938",40.3,47.1,56.8,46.7,58.4,34.2
"173334",45.1,55.1,53.2,51.2,52.4,45.6
"173435",47,40.5,52.2,49.6,53,46.1
"173536",59.4,50,43.4,59.7,50.4,52.5
"173637",34.5,36.6,43.4,49.3,46.5,34.2
"173940",47.2,52,52.2,51.2,58.3,49.4
"174437",53.2,55.1,43.4,59.7,51.7,53.5
"174841",32.7,36.6,43.4,32.9,46.5,34.2
"175237",45.1,45.2,43.4,44.3,44.8,46.1
"175338",47.5,44.9,63.3,46,40.1,41.2
"175439",59,64.6,43.4,58.3,50.4,62.2
"175540",47.7,49.3,52.2,32.9,53.4,41.9
"175742",42.4,53,49.8,40.1,56.9,34.2
"176037",49.8,54.5,49.8,49,51.7,49.9
"176542",44.4,42.8,62,35.9,40.1,34.2
"177645",53.9,45,53.2,54,51.8,51.7
"178142",40.3,53.9,59.7,32.9,53.6,34.2
"178243",40.6,58.1,52.6,45.2,51.7,42.2
"178748",49.8,56.8,56.6,44,40.1,43
"178950",67.2,59.4,43.4,56,40.1,62.2
"179245",49.5,36.6,73.7,55.7,40.1,57.6
"179346",42.4,36.6,43.4,46.7,44.8,46.1
"180129",85.4,74,83.1,84.9,87.5,76.9
"180432",52.8,43.6,43.4,54.1,56,43.6
"180735",46.4,36.6,43.4,46,40.1,46.1
"180937",50.3,55.4,62,53.7,54.2,55.5
"181636",43.3,42.8,43.4,56.5,51.7,34.2
"182436",47.5,60.4,55,54.8,44.8,45.7
"182739",44.2,42.8,43.4,47.2,55.9,48.1
"183034",35.3,58,67.4,38.3,40.1,34.2
"185139",28.6,49,43.4,54.9,44.8,34.2
"185341",54,52.7,43.4,64.9,46.3,65.8
"185442",36.3,36.6,55,52.2,47.2,45.7
"185846",52.3,55.1,61.8,57.7,61.3,53.4
"185947",50.7,59.5,63.6,63.9,75.6,62.3
"186141",43.5,55.5,56.2,46,40.1,53.4
"186444",49.8,58.3,58.2,61.3,59.7,59.8
"187143",50.6,47.3,64.6,51.2,57.4,47.6
"187345",43,53.9,52.5,51.2,53.5,46.1
"187547",38,55.1,52.2,41.2,40.1,34.2
"187850",47.5,36.6,43.4,51.2,44.8,43.6
"188347",28.6,49,60.1,32.9,47,34.2
"188549",46,58.5,53.2,56.5,56.2,48.7
"188751",47.5,36.6,43.4,41.5,49.8,41.6
"189349",41.4,42.4,53.2,52.9,61.7,42.2
"189450",53.7,48.9,61.1,53.9,40.1,55
"190031",57.4,54.5,43.4,46.2,44.8,54.3
"191033",56.4,47.1,55.2,53.9,60,46.1
"191235",44.2,42.4,55.8,41.7,45.3,34.2
"191336",60.6,36.6,58.6,59.8,40.1,48.1
"191437",56.9,56,49.8,57.7,63.8,55
"192035",41.2,36.6,43.4,35.9,46.4,38.9
"192439",64.4,52.6,52,69.4,49.8,65.1
"192540",28.6,42.4,43.4,54,58.3,38.9
"192641",43,53,62,43.7,40.1,38.1
"192843",54.4,48,49.8,51.2,58.5,51.3
"193239",44.5,60.2,43.4,51.2,40.1,45.5
"194140",42.5,51.4,43.4,46.9,46.4,50.8
"194645",52,55.5,60.8,51.2,56.8,51.3
"194746",40,54.6,51.8,51.7,52.7,34.2
"195041",36.4,36.6,56.4,37.9,54.1,44.8
"195445",55.7,60.6,56.9,59.6,60,51.3
"195647",57.1,60.2,43.4,57.5,61.1,57.5
"195950",39.6,57.2,58.9,53.7,47.1,34.2
"196144",57.1,64.4,56.8,59.6,53.5,55
"196750",52,53.7,49.8,56,63.9,60.3
"197348",46.3,50.9,43.4,53.7,58.5,46.1
"197550",65,63,54.3,60.9,46.3,76.9
"198350",48.9,52.3,43.4,46,50.5,43.6
"198451",58.9,54.7,51.2,64.9,57.9,64
"198653",54.9,59.6,55.1,43.9,60.8,55.4
"198855",49.8,36.6,43.4,32.9,46.4,44.2
"199150",48.4,36.6,43.4,51,54.9,34.2
"199251",52.8,41.4,43.4,48.7,47.2,44.2
"199453",32,42.8,43.4,46,46.4,45.5
"200008",52,45.1,43.4,56,54.4,55
"200109",45.6,45,43.4,51.2,54.7,43.3
"200311",47,47.2,52.5,46,50.5,45.6
"200614",41.9,40.5,43.4,49,45.3,39.8
"201111",64,66.5,66.7,59.8,49.8,62.5
"201414",41.9,48.8,53.1,49.3,56.9,39.4
"201818",48.1,55.7,49.8,45.7,46.4,43.6
"202113",52.5,51.4,50.8,48.7,53.6,42.6
"203923",54.4,40.5,60.6,56,56.3,62.2
"204016",49,57.2,43.4,52.1,67.8,48.1
"204319",60.7,63.3,60.1,56,62,46.1
"204420",33.8,61.5,53.7,32.9,47,34.2
"204521",48.5,36.6,53.1,43.7,53,39.1
"204622",37.1,44.8,43.4,32.9,40.1,34.2
"205119",41.5,42.8,43.4,44.3,52.2,42.2
"205220",45.7,36.6,43.4,40.6,40.1,34.2
"205725",51.3,58.1,43.4,53.7,63.3,51
"205826",50.9,48.7,56.2,41.6,56.9,47.6
"206525",51.3,47.1,64.1,44.3,63.9,38.5
"206727",47.8,58.3,64.6,45.5,45.3,39.4
"207123",46.5,36.6,59,41.5,56.8,43.3
"207426",28.6,49,62.7,32.9,40.1,34.2
"208024",49,48,43.4,49.3,60.5,44.2
"208125",48.1,56.9,54.2,53.6,46.3,54.3
"208226",41.9,52.8,43.4,51.2,50.5,38.1
"208327",54.8,53.8,55,54.4,53.4,48.1
"209127",49.8,53,55.7,56,60.1,51.3
"209228",50.3,53,63.4,51.2,58.5,55
"209834",54.7,63,62.2,65.7,45.3,56.9
"209935",58.5,67.8,63.5,46.9,52.1,55
"210011",46.8,40.5,43.4,42.3,51.5,41.5
"210415",47.5,58.1,43.4,51.9,51.5,43.8
"210617",41.3,42.8,43.4,46,54.3,39.4
"211114",28.6,42.8,43.4,35.9,40.1,39.6
"211316",57,56.3,65.3,55.5,66.3,56.1
"211417",46,47.1,43.4,51.2,67.5,44.7
"211821",47.5,60.6,64,49,54.4,43.6
"211922",61.1,59,43.4,63.3,40.1,61.9
"212116",31.6,42.8,60.4,32.9,49.8,34.2
"212217",60.7,64.4,52.8,53.9,45.3,62.2
"212318",52.8,45,43.4,51.2,63.9,43.6
"212419",45.6,48.9,43.4,56,51.8,43.8
"212823",39.9,40.9,43.4,41.1,51.8,34.2
"214019",54.9,54.6,55,53.7,53,51.2
"214221",50.2,50.1,70.3,53.7,49.8,56
"214423",54.8,60.2,67.7,53.7,58,51.2
"214524",51.6,55.5,52.2,54,47,45.8
"214726",56.6,52.2,66.8,51.2,44.8,53.3
"217126",56.6,55.6,63.5,60.6,63.8,55
"217429",54.1,45.1,43.4,55.7,63,49.9
"219231",41.5,44.5,67,52.1,64.1,47.6
"220721",62.4,58.9,64.5,59.8,67.3,62.2
"221319",52.9,53.7,61.2,63.3,65.6,54.3
"223929",51.3,51,63.6,41.3,55.2,47.6
"227432",54.9,40.9,43.4,54.4,49.8,52.7
"228434",34.5,47.1,51.2,50.2,55.3,34.2
"233326",49.8,36.6,52.2,47.9,47,48.2
"239136",47.5,43.3,43.4,51.2,55,41.4
"239944",46,36.6,52.2,43.9,49.8,42.2
"245333",53.8,47.2,43.4,51.2,50.5,48.1
"246133",42.5,51,55.7,41.5,40.1,41.4
"248339",60.7,66.6,57.4,54.2,54.7,55.9
"249947",35.6,36.6,43.4,46,40.1,34.2
"250427",46.5,54.9,43.4,49.2,44.8,51.3
"250932",45.9,46.4,52.5,52,52.1,46.1
"251833",44.2,51.4,60.7,46,63.9,47.9
"255639",54,57.2,43.4,46.9,58.7,45.7
"255740",52.9,59.5,52.5,61.3,54.3,57.5
"256540",33.6,46.8,43.4,42.3,44.8,34.2
"257845",43.2,36.6,43.4,42.7,54.7,34.2
"263436",52.4,53.8,43.4,61.5,54.4,49.4
"268749",35.1,47.6,43.4,42.9,46.5,34.2
"268850",37.1,59,62,46.7,50.5,34.2
"275645",58.5,44.6,43.4,51.4,47.2,62.2
"283543",47.5,53.6,43.4,51.2,54.8,42.1
"285345",34.5,40.9,53.2,39.1,51.8,38.9
"285446",39.2,42.8,59.7,50.7,49.8,45.6
"286650",42.4,55.2,43.4,43.7,49.8,46.3
"287248",43,40.5,43.4,49,52.2,46.1
"289555",47.5,54.1,43.4,56.5,58.3,49.9
"290136",51.3,54.7,51.6,53.5,54.2,48.1
"293748",44.3,36.6,43.4,49.2,57.5,38.8
"295146",53.3,49,61.6,53.9,40.1,49.5
"298051",46.8,55.1,43.4,53.7,48.9,34.2
"298455",54.4,42.8,62.4,58,61.1,46.1
"300618",42.4,55.5,62.3,49.2,56,44.7
"303119",54.8,60.8,75.5,49.3,50.8,48.1
"303624",36,36.6,43.4,43.6,44.8,42.2
"304020",35.6,53,57.4,39.4,40.1,45.5
"304727",42.4,36.6,43.4,51.2,52.4,41.8
"305830",45,58.4,52.2,44.3,51.7,46.9
"307127",62.3,62.3,56.8,59.8,44.8,58.9
"309636",47.7,49.7,43.4,52.9,60,49.4
"310621",44.5,40.5,43.4,49.6,54.4,45.1
"311320",58.4,60.8,66.3,54.9,40.1,60.3
"316633",55.4,50.6,43.4,65.6,54.3,52.5
"316835",44.7,42.4,65.2,51,67.4,47.6
"318637",39.2,36.6,57.5,51.2,40.1,41.7
"322224",40.1,47.1,43.4,49,54.4,47.6
"329440",52.5,47.1,58.4,51.2,49.8,46.8
"329844",36.6,36.6,51.2,41.8,44.8,34.2
"330324",52,40.8,52.2,40,40.1,49.9
"333330",50.9,42.8,56,44.5,56.6,45
"334635",52.8,62.6,56.9,57.6,63.7,49.2
"341834",46.8,51.2,52.2,49,60.8,42.3
"342129",52.8,54.4,69.2,42.7,67.4,39.6
"346137",36,48.9,43.4,51.4,53.6,44.2
"346945",50.8,62.8,76.3,37.2,46.4,39.5
"348545",73.5,68,77.9,65.1,56.8,59.8
"349244",43.7,49,49.8,51.2,57.5,46.1
"352132",67.9,45.5,50.8,46.5,59.4,51
"352738",52.1,43.6,43.4,56,50.6,43.6
"353740",49,47.1,50.8,53.1,46.4,34.2
"356948",45.2,47.1,43.4,49.6,50.5,44.9
"358144",28.6,56.3,43.4,32.9,40.1,34.2
"361941",56.6,59.4,56.2,70.6,58.6,62.4
"365343",49.8,40.8,43.4,46,55.9,41.8
"366042",48.4,49.4,49.8,61.6,53.4,51.2
"366446",48.7,48.5,43.4,54.4,55.3,45.5
"368551",44.2,40.5,55,40.2,49.8,39.8
"371843",59.9,63.1,65.8,63.6,57.5,60.5
"377451",59.3,52.7,53.2,69.4,60.1,57.3
"378857",44.1,43.3,52.2,52.1,60.2,45.7
"379657",55.6,63.6,55,63.7,69.4,54.3
"380036",57.1,45,55.7,42.1,56,43
"381038",56.8,59.6,43.4,63.7,64.1,51.2
"381543",43.6,63.1,67.4,44.3,40.1,34.2
"385450",45.6,50.9,60.6,51.2,50.9,57.5
"387959",50.9,45,43.4,51.2,40.1,49.9
"389357",40.1,51.4,49.8,46.2,47.2,44.2
"390645",49.6,51.4,43.4,54.4,55.3,46.1
"392447",40.2,47.1,56.9,42.3,56.9,34.2
"395958",28.6,36.6,43.4,32.9,45.3,34.2
"397154",50.3,46.5,53.1,58.3,59.4,48.5
"397760",46.4,54.8,43.4,51.2,59,48.2
"397861",57.6,66.6,52.2,46.7,50.6,49.4
"406432",33,41.4,43.4,32.9,40.1,34.2
"406836",28.6,40.5,43.4,32.9,40.1,34.2
"412528",34.5,42.4,51.2,36.8,45.3,34.2
"414229",46.3,51.5,49.8,43.6,40.1,38.8
"422632",40.9,48.2,43.4,56.5,51,41.4
"424939",52,51.5,69.1,49.3,54.3,54.1
"429040",45.1,49.7,49.8,51.2,54.3,45.8
"432332",45.6,50.3,43.4,37.6,40.1,42.3
"436239",50.3,47.8,43.4,60.5,57.4,46.1
"436845",49.8,59.6,43.4,56,50.2,49.9
"441939",53.5,40.5,63.1,57.7,61.6,48.1
"445543",60.7,63.6,55.8,59.8,68.1,49.4
"448347",45.6,48.9,58.9,49.6,51.5,46.1
"456346",42.8,55.4,43.4,56,61.1,45.7
"459453",56.3,48.3,43.4,56,62.4,57.5
"467351",33.6,36.6,43.4,32.9,40.1,34.2
"475855",44.6,58,56.8,41.4,44.8,34.2
"479762",46.3,49.3,43.4,54.9,64.6,49.4
"481951",54.5,48.2,43.4,66.9,67.7,59.4
"485757",42.4,36.6,51.2,38.6,49.8,34.2
"486759",28.6,36.6,43.4,32.9,49.8,34.2
"495255",54.5,47.1,49.8,64.1,61.5,44
"497865",39.7,36.6,43.4,51.2,51.8,34.2
"499566",52.8,59,59.1,60.5,56.8,53.3
"500222",53.8,51.1,43.4,54,59.2,62.2
"510225",47.8,41.4,43.4,53.6,55.9,51.3
"512835",61.5,65.7,62.3,56.2,63.4,51
"513736",47.5,61.7,43.4,54.4,56.9,48.2
"519950",54.1,58.4,53.6,56,64.1,53.4
"520228",38.6,45.8,65.7,64.9,44.8,51.7
"523032",52.4,51.1,43.4,61.3,67.2,55
"524135",53.4,41,43.4,64.9,40.1,69.5
"525541",44.7,50.1,43.4,56,50.5,49.9
"529549",47.2,65.8,54,51,40.1,43.8
"529953",35.2,48.9,43.4,32.9,40.1,34.2
"530635",44.3,44.8,53.2,51.2,58.3,41
"531536",53.8,49,55.8,51.2,54.1,49.9
"536647",42,36.6,52.2,43.3,60.1,34.2
"540436",49.3,53.3,43.4,56.2,40.1,49.4
"541640",47.1,41,51.6,49,46.4,53.4
"541943",44.1,60.9,43.4,51.2,52.1,48.1
"545345",44.4,50.7,71.9,53.7,40.1,43.9
"547046",51.3,49.1,43.4,58,47.1,50.9
"548250",49.8,59.4,65.9,53.7,66.8,55.4
"555348",40.3,36.6,53.2,53.6,49.8,50.8
"557857",50,62.9,69.9,56,62.2,62.2
"559053",43,45.1,43.4,51.4,51.8,47.9
"561242",52,58.7,43.4,52.9,54.8,48.2
"562345",50.7,51.1,43.4,51.2,50.6,42.4
"562446",58.8,36.6,43.4,43.2,60.9,50.6
"565452",41.9,53.5,53.2,46,46.4,34.2
"566454",44.2,45.2,67.5,45.7,40.1,49.9
"567052",52,54.7,43.4,52.4,67.7,53.5
"567961",55.9,61.9,43.4,62.9,54.8,48.5
"568963",39,36.6,43.4,53.5,40.1,34.2
"570243",55.9,71.9,73.1,58,40.1,50.8
"571144",33.6,63.8,66.6,32.9,40.1,34.2
"572045",39.9,36.6,43.4,46,40.1,45.8
"573249",50.8,52.2,49.8,56.5,40.1,47.9
"573451",40.4,53,43.4,36.5,40.1,42.8
"579665",42.4,36.6,43.4,46.9,51.7,49.9
"579867",52.9,41,43.4,46.7,60,51.2
"580044",48.3,57.5,52.2,54.2,49.8,49.9
"580650",56.8,61.8,52.2,57.7,54.2,56.9
"580751",39.8,43.6,43.4,49.2,45.3,51.2
"581349",64.8,67.8,75,60.8,40.1,62.2
"581450",28.6,53,62,37.6,40.1,34.2
"583858",59,48.3,55,40.1,49.8,34.2
"585862",33.3,44.1,43.4,38.7,40.1,34.2
"586460",42.4,36.6,49.8,43.3,53,38.9
"587664",44.6,52.9,52.2,48.5,54.8,44.6
"588565",56.6,64.4,49.8,51.2,49.8,53.4
"592455",47.5,54.9,43.4,42.9,40.1,48.1
"594156",43.9,46.2,52.2,46,44.8,53.4
"598568",57.1,54.8,57.5,46,46.4,44.2
"599065",37.7,40.5,54.3,42,57.5,39.1
"599671",43,49.4,58.4,43.8,51.7,55
"601127",42.1,58.9,43.4,60.9,44.8,58.4
"611938",37.9,43.6,65.6,41.8,57.5,41.2
"613538",40.3,42.8,53.2,32.9,53.6,34.2
"615744",54.3,44,53.2,51.4,55.3,34.2
"620434",54.8,56.9,51.6,54.4,56.5,50.8
"623844",58.8,57.9,70.4,48.8,46.5,51.7
"626648",38.2,53,43.4,49.3,40.1,42.6
"627852",53.4,57.6,63.5,46.7,61.5,46.1
"633847",33.6,40.8,43.4,49,54.3,34.2
"638049",45.1,52.4,43.4,37.6,40.1,42.3
"645450",49.5,36.6,43.4,51.4,55.3,48.2
"645551",33.6,53,43.4,32.9,44.8,34.2
"654350",43.7,45,52.2,43,49.8,34.2
"654754",42.4,40.5,43.4,46,48.9,34.2
"656253",51.3,46.6,43.4,46,40.1,43.9
