"Subject","Family_ID"
"137027","51786_81650"
"137128","51526_81390"
"137229","55699_85521"
"137633","52018_81882"
"137936","52769_82590_99986"
"138231","51304_81169"
"138534","52380_82243"
"139839","52848_82669"
"140824","51977_81841"
"140925","52587_82406_99978"
"141119","52823_82644"
"141422","52134_81998"
"142828","51480_81344"
"143325","51343_81208"
"144428","51717_81581"
"144731","55694_85516"
"144832","51426_81291"
"145834","51679_81543"
"146331","52586_99991_99992_99993"
"146432","51702_81566"
"146937","52938_82760"
"147636","51753_81617"
"148032","51730_81594"
"148133","51612_81476"
"148335","51945_81809"
"148941","52326_82189"
"149236","54645_84467"
"149337","51717_81581"
"149539","51527_81391"
"149741","52747_82568"
"149842","55890_85710"
"150726","51866_81730"
"151223","51329_81194"
"151324","52115_81979"
"151425","51628_81492"
"151526","52312_82175"
"151627","51289_81155"
"151829","55890_85710"
"152225","55694_85516"
"152831","51969_81833"
"153025","51566_81430"
"153429","51347_81212"
"153631","55701_85523"
"153833","52023_81887"
"154229","53275_83097"
"154330","52369_82232"
"154431","51477_81341"
"154532","52757_82578"
"154734","51911_81775"
"154835","52874_82696"
"154936","52419_82271"
"155938","55766_85587"
"156233","51416_52851_81281"
"156334","51576_81440"
"156637","51287_81153"
"157336","51303_81168"
"157437","51519_81383"
"157942","51504_81368"
"158035","51419_81284"
"158136","51749_81613"
"158338","55699_85521"
"158540","51424_81289"
"159138","51782_81646"
"159239","51348_81213"
"159340","52273_82136"
"159441","51494_81358"
"160123","52493_82328_82671"
"160729","52796_82617"
"161327","51416_52851_81281"
"161731","51324_81189"
"162026","51392_81257"
"162228","52169_82032"
"162329","51381_81246"
"162935","55890_85710"
"163129","52326_82189"
"163331","51774_81638"
"163836","52907_82729"
"164030","51785_81649"
"164131","52342_82205"
"164636","55955_85775"
"164939","52092_81956"
"165032","52023_81887"
"165638","52801_82622"
"165840","51538_81402_82673"
"166640","51989_81853"
"167036","51435_81300"
"167743","51375_81240"
"168240","55788_85609"
"168341","51751_81615_99984_99985"
"169040","55788_85609"
"169343","51329_81194"
"169444","52269_82132"
"171330","52816_82637"
"171532","51414_81279"
"171633","52338_82201"
"172029","52753_82574"
"172130","52338_82201"
"172332","51400_81265"
"172534","51337_81202"
"172938","52150_82013"
"173334","52342_82205"
"173435","52629_82448"
"173536","52936_82758"
"173637","53230_83052"
"173940","51356_81221"
"174437","51354_81219_82525_82526"
"174841","56032_85853"
"175237","56120_85940"
"175338","53257_83079"
"175439","51305_81170"
"175540","51751_81615_99984_99985"
"175742","52195_82058"
"176037","51340_81205"
"176542","51459_81324"
"177645","52274_82137"
"178142","51603_81467"
"178243","56016_85837_99974"
"178748","52496_82331"
"178950","51891_81755"
"179245","56096_85916_99972"
"179346","51496_81360"
"180129","52089_81953"
"180432","52168_82031"
"180735","52884_82706"
"180937","52134_81998"
"181636","52921_82743"
"182436","52872_82694"
"182739","51399_81264"
"183034","51786_81650"
"185139","51375_81240"
"185341","52910_82732"
"185442","54634_84456"
"185846","55651_85473"
"185947","55699_85521"
"186141","51826_81690"
"186444","53288_83110"
"187143","51900_81764"
"187345","54643_84465"
"187547","52936_82758"
"187850","51916_81780"
"188347","52468_82308"
"188549","54623_84445"
"188751","52793_82614"
"189349","51689_81553"
"189450","52660_82479"
"190031","51890_81754"
"191033","52370_82233"
"191235","51989_81853"
"191336","51831_81695"
"191437","51295_81161"
"192035","52321_82184"
"192439","51304_81169"
"192540","51469_81334"
"192641","52894_82716"
"192843","52755_82576"
"193239","51305_81170"
"194140","51400_81265"
"194645","52450_82293"
"194746","53001_82823"
"195041","52164_82027_99980"
"195445","51628_81492"
"195647","51377_81242"
"195950","56016_85837_99974"
"196144","51377_81242"
"196750","51663_81527"
"197348","51426_81291"
"197550","51387_81252"
"198350","52629_82448"
"198451","51397_81262"
"198653","56037_85858"
"198855","52826_82647"
"199150","51478_81342"
"199251","51345_81210"
"199453","52006_81870"
"200008","55686_85508"
"200109","52936_82758"
"200311","51707_81571"
"200614","51367_81232"
"201111","51387_81252"
"201414","52514_52849_82348_99995"
"201818","51493_81357"
"202113","55754_85575"
"203923","55703_85525"
"204016","52715_82538_99977"
"204319","53230_83052"
"204420","55787_85608"
"204521","52164_82027_99980"
"204622","51106_80975"
"205119","51806_81670"
"205220","51426_81291"
"205725","51289_81155"
"205826","51820_81684"
"206525","53257_83079"
"206727","55997_85818"
"207123","55922_85742"
"207426","55769_85590"
"208024","52338_82201"
"208125","54624_84446"
